epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,3917.46,0.69405,0.40609,0.88217,0.97911,0.98136,0.99221,0.85643,0.51462,0.25398,0.84241,0.003202,0.003202,0.003202
105,4109.55,0.69841,0.40646,0.88334,0.97834,0.98163,0.99223,0.85647,0.51328,0.25322,0.84207,0.003136,0.003136,0.003136
106,4300.1,0.69657,0.40547,0.88207,0.98001,0.9808,0.99229,0.85761,0.51181,0.25231,0.84159,0.00307,0.00307,0.00307
107,4493.87,0.6887,0.40141,0.87875,0.98048,0.98044,0.99228,0.85735,0.51074,0.25223,0.84133,0.003004,0.003004,0.003004
108,4687.06,0.682,0.40139,0.87842,0.98152,0.97984,0.99248,0.85873,0.50932,0.25139,0.84095,0.002938,0.002938,0.002938
109,4879.5,0.67878,0.40132,0.8783,0.98225,0.97922,0.99252,0.85942,0.50786,0.25091,0.84059,0.002872,0.002872,0.002872
110,5074.98,0.68213,0.39583,0.87845,0.98011,0.98207,0.99261,0.8602,0.50595,0.2501,0.84025,0.002806,0.002806,0.002806
111,5272.29,0.68232,0.39946,0.88014,0.98244,0.97973,0.99269,0.86079,0.50451,0.24981,0.83999,0.00274,0.00274,0.00274
112,5473.51,0.67485,0.39231,0.87692,0.98248,0.98,0.99277,0.86121,0.50297,0.2495,0.83952,0.002674,0.002674,0.002674
113,5674.57,0.67319,0.39155,0.87401,0.98345,0.97947,0.99278,0.86186,0.50189,0.24904,0.83913,0.002608,0.002608,0.002608
114,5874.25,0.66253,0.39312,0.87438,0.98425,0.97961,0.9928,0.86264,0.5006,0.24831,0.8388,0.002542,0.002542,0.002542
115,6076.52,0.66646,0.39012,0.87606,0.98404,0.9807,0.99284,0.86327,0.49903,0.24779,0.83838,0.002476,0.002476,0.002476
116,6283.97,0.65519,0.38605,0.87323,0.98403,0.98123,0.99286,0.86356,0.49782,0.24733,0.83806,0.00241,0.00241,0.00241
